Song Name,Artists,Released Dates,Popularity,Duration,Album Type,valence,energy,danceability,acousticness,mood,Spotify URL,Cover Image
"Dil Taan Pagal-Je Tu Na (From ""T-Series Mixtape Punjabi"")",Akhil Sachdeva,2019-09-03,33,291503,compilation,0.43,0.65,0.63,0.21,Intense / Angsty,https://open.spotify.com/search/Dil%20Taan%20Pagal-Je%20Tu%20Na%20%28From%20%22T-Series%20Mixtape%20Punjabi%22%29%20Akhil%20Sachdeva,https://i.scdn.co/image/ab67616d0000b273dc9563139ebc2a5597254664
"She Don’T Know-Akh Lad Jaave (From ""T-Series Mixtape Punjabi Season 2"")",Dhvani Bhanushali,2019-11-28,33,215360,single,0.54,0.64,0.71,0.23,Energetic / Party,https://open.spotify.com/search/She%20Don%E2%80%99T%20Know-Akh%20Lad%20Jaave%20%28From%20%22T-Series%20Mixtape%20Punjabi%20Season%202%22%29%20Dhvani%20Bhanushali,https://i.scdn.co/image/ab67616d0000b273c15e263457dcfac5d896f356
Chosen,Sidhu Moose Wala,2019-12-20,26,264019,compilation,0.58,0.39,0.43,0.3,Romantic / Warm,https://open.spotify.com/search/Chosen%20Sidhu%20Moose%20Wala,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Tera Love Letter Sajna,Lovely Nirman,2000-06-30,31,313096,album,0.55,0.43,0.46,0.29,Mellow / Reflective,https://open.spotify.com/search/Tera%20Love%20Letter%20Sajna%20Lovely%20Nirman,https://i.scdn.co/image/ab67616d0000b27303f35f17fafef1c88aed368a
Jattiye Ni,Jordan Sandhu,2019-12-20,23,181812,compilation,0.45,0.38,0.48,0.31,Melancholic / Heartbroken,https://open.spotify.com/search/Jattiye%20Ni%20Jordan%20Sandhu,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Pagal,Slow Vibe,2022-12-22,30,262500,single,0.54,0.43,0.43,0.38,Mellow / Reflective,https://open.spotify.com/search/Pagal%20Slow%20Vibe,https://i.scdn.co/image/ab67616d0000b273bdaae0af9e7b3d3d46c3b703
Baazi Dil Di,Himmat Sandhu,2019-12-20,18,203572,compilation,0.43,0.38,0.47,0.31,Melancholic / Heartbroken,https://open.spotify.com/search/Baazi%20Dil%20Di%20Himmat%20Sandhu,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Dream love,Sagar Chawla,2024-04-19,31,188976,single,0.64,0.48,0.55,0.41,Happy / Upbeat,https://open.spotify.com/search/Dream%20love%20Sagar%20Chawla,https://i.scdn.co/image/ab67616d0000b273cbe3062e344f9d44ea7636e0
ALMOST LOVE (An Audio Story),Anmol Gurung,2020-06-09,23,2972133,single,0.57,0.36,0.47,0.43,Romantic / Warm,https://open.spotify.com/search/ALMOST%20LOVE%20%28An%20Audio%20Story%29%20Anmol%20Gurung,https://i.scdn.co/image/ab67616d0000b2737680239c2614ea3478dc4c83
love,Arham Chaudhry,2023-09-07,31,193541,single,0.59,0.37,0.48,0.3,Romantic / Warm,https://open.spotify.com/search/love%20Arham%20Chaudhry,https://i.scdn.co/image/ab67616d0000b273455a78646fe0b04f1e34688d
Possessive Lofi,Jass Manak,2022-09-28,30,239280,album,0.42,0.43,0.44,0.36,Melancholic / Heartbroken,https://open.spotify.com/search/Possessive%20Lofi%20Jass%20Manak,https://i.scdn.co/image/ab67616d0000b2731f089fbbf2562f4218435b74
